Resampled version already cached
Resampled version already cached
         2617967 function calls (2562120 primitive calls) in 2.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.037    0.004 yacc.py:323(parse)
       10    0.010    0.001    0.037    0.004 yacc.py:1001(parseopt_notrack)
    12404    0.004    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.036    0.036 httpsession.py:1(<module>)
        2    0.000    0.000    0.036    0.018 builtins.py:1(<module>)
  252/247    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
     5709    0.016    0.000    0.036    0.000 version.py:261(__init__)
        1    0.000    0.000    0.036    0.036 pyopenssl.py:1(<module>)
  252/247    0.033    0.000    0.035    0.000 {built-in method _imp.create_dynamic}
        3    0.000    0.000    0.034    0.011 registry.py:1(<module>)
        6    0.000    0.000    0.034    0.006 core.py:1(<module>)
        1    0.000    0.000    0.034    0.034 dispatcher.py:4(<module>)
        1    0.000    0.000    0.034    0.034 rcsetup.py:1(<module>)
        1    0.000    0.000    0.032    0.032 compiler.py:1(<module>)
        5    0.000    0.000    0.032    0.006 exceptions.py:1(<module>)
        1    0.000    0.000    0.032    0.032 _nnls.py:3(<module>)
     5398    0.002    0.000    0.031    0.000 re.py:198(search)
      678    0.001    0.000    0.031    0.000 __init__.py:2054(_by_version)
        6    0.000    0.000    0.031    0.005 __init__.py:4(<module>)
        1    0.000    0.000    0.031    0.031 axes3d.py:1(<module>)
      684    0.002    0.000    0.031    0.000 __init__.py:2597(from_location)
     2009    0.006    0.000    0.031    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      334    0.001    0.000    0.030    0.000 __init__.py:2323(fixup_namespace_packages)
      842    0.001    0.000    0.030    0.000 __init__.py:2218(_handle_ns)
       10    0.000    0.000    0.030    0.003 _base.py:704(__init_subclass__)
        1    0.000    0.000    0.030    0.030 _orthogonal.py:1(<module>)
        5    0.000    0.000    0.029    0.006 base.py:1(<module>)
      678    0.001    0.000    0.029    0.000 __init__.py:2060(<listcomp>)
     2806    0.002    0.000    0.028    0.000 __init__.py:2045(try_parse)
        1    0.000    0.000    0.027    0.027 crypto.py:1(<module>)
        5    0.000    0.000    0.027    0.005 __init__.py:15(<module>)
        1    0.000    0.000    0.026    0.026 _sparse_pca.py:1(<module>)
        1    0.000    0.000    0.026    0.026 segment.py:3(<module>)
    21518    0.010    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        3    0.000    0.000    0.025    0.008 helpers.py:2(<module>)
    27/14    0.000    0.000    0.025    0.002 functools.py:947(__get__)
